id,lat,long,Coord,Place,State,City,Centroid Index,Centroid Lat,Centroid Long
0,45.8263231,-67.9879768,Latitude : 45.8263231 Longitude : -67.9879768,"Haynesville Road, Route 2A",ME,Haynesville,1,44.5252915678683,-69.1046717756104
1,44.2304611,-69.0476748,Latitude : 44.2304611 Longitude : -69.0476748,Maiden Cliff Trail,ME,Camden,1,44.5252915678683,-69.1046717756104
2,44.6691381,-70.1489941,Latitude : 44.6691381 Longitude : -70.1489941,USM Farmington,ME,Farmington,1,44.5252915678683,-69.1046717756104
3,44.5717667,-68.7843204,Latitude : 44.5717667 Longitude : -68.7843204,Cursed Tomb of Colonel Buck,ME,Bucksport,1,44.5252915678683,-69.1046717756104
4,44.38132,-68.21107,Latitude : 44.38132 Longitude : -68.21107,Coach Stop Inn,ME,Bar Harbor,1,44.5252915678683,-69.1046717756104
5,44.3163186,-69.7693596,Latitude : 44.3163186 Longitude : -69.7693596,Kennebec Arsenal,ME,Augusta,1,44.5252915678683,-69.1046717756104
6,44.104665,-69.114048,Latitude : 44.104665 Longitude : -69.114048,Lime Rock Inn,ME,Rockland,1,44.5252915678683,-69.1046717756104
7,43.8543322,-69.6265625,Latitude : 43.8543322 Longitude : -69.6265625,Boothbay Opera House,ME,Boothbay,1,44.5252915678683,-69.1046717756104
8,44.779329,-69.716391,Latitude : 44.779329 Longitude : -69.716391,The Strand Cinema,ME,Skowhegan,1,44.5252915678683,-69.1046717756104
9,44.458971,-68.914138,Latitude : 44.458971 Longitude : -68.914138,Carriage House Inn,ME,Searsport,1,44.5252915678683,-69.1046717756104
10,44.566344,-68.804687,Latitude : 44.566344 Longitude : -68.804687,Fort Knox,ME,Prospect,1,44.5252915678683,-69.1046717756104
